Episode #,Episode Title,Original Airdate,Joe's Cheese,Sam's Cheese,Notes and Notable Quotes
204,Cheesy Breezy Beautiful,"August 23, 2018",Fresh mozzarella,,No theme song at this point. Sam begins contributing earnestly in Episode 239.
205,Raccoon Handy-J,"August 30, 2018",Jarlsberg,,Joe sings a theme song but it's not the one we know and love.
206,"Hmm, Cheese","September 7, 2018",Gruyere,,Joe invents the theme song we know and love.
207,Brunch is For the Gays,"September 13, 2018",Comté,,"Joe had not tried it yet, nor did he know how to pronounce it."
208,Fly Me to the Moon,"September 20, 2018",Cheddar,,"In a cheddar and olive loaf, made to eat with chili."
209,Optician Dishin',"September 27, 2018",,,Some discussion of pumpkin spice cheese
213,Pokémon GO TO CHURCH,"October 26, 2018",,,Some talk of cheddar biscuits
214,"City Goat, Country Goat","November 1, 2018",Cheddar,,"in biscuits, one week late. Beautiful extended theme song."
216,Sam and Joe GO,"November 15, 2018",Cheddar,,"Joe: ""Cheddar."""
220,That's #Dairy,"December 20, 2018",Mozzarella*,EZ Cheese°,*and marinara Ruffles °Sam mentions EZ Cheese to torment Joe. This is a momentous episode: Sam's inaugural cheese!
221,The Tent is QUAKING,"December 29, 2018",Black Diamond Five Year Cheddar,,In chicken taco bowls; THE FIRST APPEARANCE OF BD5YRC! Sam mentions a cheese board he received as a Christmas present.
222,"Bird Boxes, Bandersnatches, and Best of 2018","January 3, 2019",Cheddar,,"As Cheese of the Year 2018 Joe: ""I am a cheese documentary."""
223,The Lort Tried to Stop Us,"January 11, 2019",Tillamouk (Cheddar),,"Joe: ""Uh, cheddar. Moving on..."""
232,NOW THAT'S WHAT I CALL CHEESE,"March 22, 2019",,,"The middle of a long cheese hiatus; many cheese devotees were heard crying late at night. Joe, in reference to an article: ""This leads into something — it's not actually going nowhere; it's not my Cheese of the Week"" Lots of talk about Emmental cheese (pronounced ""Em-MEN-tull"" by Joe). Joe: ""I don't pick out Swiss cheese — Swiss cheese picks out me. That's how you connect with your cheese."""
239,Try Empathy,"May 9, 2019",Cheddar (Parmesan),Pecorino,Sam's first real COTW!! Editor's note: This episode aired on my 22nd birthday. :)
240,Ratburn? Or Rug Burn?,"May 17, 2019",Garlic Parmesan chicken,,
241,Compost Your Ghost,"May 30, 2019",,Emmental,
242,,,Cheddar (not Kraft) rolls,,"Sam: ""Joseph Cheddarsong"""
244,,,Lemonade apple,,"This episode also includes Kate Bristol's amazing song about the podcast, in which she threatens to lose her shit of cheddar is Cheese of the Week again"
249,,,Gatorade Frost Arctic Bliss,,"Joe: ""Can you imagine like a cheddar Gatorade? Mmm... Like a fondue Gatorade cheese?"""
250,,,Apple smoked cheddar,,From Harris Teeter; it wasn't good.
251,,,,,"Joe: ""Nothing loves you more than it hates fire."""
253,,,Mislabeled BD2YRC,The same Swiss cheese he's been buying for a year,"Joe: ""I'm disneyhorse1 bitch, and I can talk that way to other horses."" The title of this episode is ""Straight From The Wheel Into Your Heart"" Joe: ""it's cheddar of the week"" Joe: ""Do you know how they get all those holes in it? Someone just fucks that cheese."" Sam: ""Someone has to."""
256,,,"Five cheese Mac and cheese (Parmesan, mozzarella, cheddar, Gouda, mystery cheese)",,Story about cheese in a chapstick tube.
257,,,"The French cheddar controversy, AKA the (alleged) cheddar that broke the camel's back",,"Joe: ""First of all, if you use cheddar, who gives a shit? Cheddar's good. It's the Cheese of the Week every week here for a reason. And if you were using Black Diamond Two Year Aged cheddar, which is not colored yellow by the way, it's more of a white cheddar, I wouldn't care, I'd take two!"" Then some talk about the new rival for the Michelin star system: the Joseph BirdStar. Also, all roads lead to Michelin peen."
258,,,Boar's Head Smoked Cheddar,,"Joe: ""I don't like it when it's not straight off the wheel....it just didn't feel pure to me...Maria you did not cut this off the wheel — I don't actually know my cheese lady's name...she doesn't guide me like my produce guy guides me...he leads me and he wouldn't lead me astray. He leads me down the right path. But I don't really talk to Brenda slash Linda slash whatever her name is...I had cheddar guilt."""
259,,,"""All of the cheddars""",,"Joe: ""I don't remember what kind we bought. One was like, Gator Biscuit Cheddar — it was definitely not called [that]. Well, it was like, it sounded like a crocodile, which is why I bought it. Like something I might make a crocodile."" Joe: ""I don't believe in shellfish."""
260,,,Cheddar,,"Joe: ""I think it was called like Fucanelli?"""
262,,,Whole Foods cheese plate instructions,Grana padano,"Joe had thrown this in the recycling by the time it was his cheese of the week. Joe: ""It was a bunch of cheeses that maybe I'll try but I don't know how because I don't remember them and I already threw it away."" In response to Sam's COTW: ""What kind of cheddar? How many cheddar?"""
263,,,Grilled cheese with smoked Gouda,,
264,,,BDR5YC,,"The oldest cheddar thus far, older than Piggie at the time of recording!"
265,,,BDR5YC,Gruyere,"Please note that the name varies slightly every time it's mentioned; this week it was ""Black Diamond Five Year Vintage Reserve."" Joe: ""I felt like I was stacking cocaine bricks in my cart...does cocaine come in bricks?"" Joe also briefly contemplates volunteering at Harris Teeter as a cheese evangelist. Sam: ""So your cheese of the week is hating on other people's cheeses."" (Re: Joe getting pictures of people with boar's head cheese)"
266,,,"Harris Teeter Brand organic chapstick, coconut ginger flavor",,"Joe: ""You know what? This isn't even cheese. COTW has become me finding a deal at Harris Teeter, no matter what product it is."" Sam: ""I don't understand how we're not sponsored by them yet."" Joe: ""Um, we're gay. [...] Sorry Harris Teeter. I would never insult you without knowledge of whether or not you're homophobic."""
268,,,Cheddar,,
270,,,BD5YRC in grilled cheese,,"Joe: ""I was like paid to take the cheese"" due to a technical error with Joe's VIC card. ""I was like what the fuck, this cheese has been in a cave for five years. Do you know?"""
271,,,Butter,,"Joe: ""I didn't really do any cheese this week."" Some talk about grilled cheese. The beginning of Joe's journey with butter dishes."
272,,,Down Under Donation Dildo,,"Made to help out Australia with the wild fires — Joe: ""It looks like it's carved out of cheese."""
273,,,Bread / Star Trek Picard,,Some early talk of banana bread — predicting the fucking future. Some talk of sprinkling Joe's ashes on the cheese counter at Harris Teeter after his death.
274,,,Kefir/Zofran/Bentyl,,This is after the first month of 2020 unsuccessfully tried to snatch Joseph.
275,,,BD5YRC,,"Joe: ""This time when I was picking it out though the cheese lady came by, she was like 'can I help you with anything?' And I was like, I held up the Black Diamond and I was like, 'I got it.'"" [...] Sam: ""Honey, the help you need the cheese girl can't give you, she is not qualified."" Sam makes a joke about eating Black Diamond Ten Year Reserve Walgreens fiber gummy supplements."
276,,,BD5YRC,Cream cheese wontons,
277,,,Focaccia bread with parmesan,,"Sam mentions that a boy he's talking to also made focaccia this week. Joe: ""Oh my god, when are you gonna scare him away?"""
278,,,"""By the Sea cheddar"" from Whole Foods (BD5YRC)",,"Joe: ""So I went to Harris Teeter, and cheese wasn't sold out. [...] Let me tell you what I heard cures coronavirus: Five Year Reserve Black Diamond Cheddar. That's the rumor honey, that's the rumor straight from the CDC. Listen, I might have misread the website, the CDC website honey, but sometimes we see what we want."" This podcast is a historical document!!! Editor's note: don't come for Joe — this is clearly a joke."
281,,,BD5YRC,,"Joe sicced his fans on Sam by asking them to tweet him about the cheese bc he knew that Sam was sleeping. He then used the cheese in nachos. Sam asks Joe what pop star BD5YRC would be and Joe says Martha Stewart: ""cause get this — she was locked up, you lock up the cheese...rough around the edges, has a story to tell, but still amazing."""
283,,,Tartar sauce,,"Quarantine Instacart adventures. Joe: ""Quarantine hit me and it hit me like a bottle of tartar sauce."""
282,,,Cabot cheddar,,"Joe: ""Anyway, ordered from Whole Foods, and I needed cheddar...and I wasn't there to smell it, and to hold it, and to feel it. [...] we're all making sacrifices and this is mine. Leave your pity for me in the comments."""
284,,,16 oz of paprika,,"Instacart adventures. Joe: ""We splurge on our spices...we don't have kids, we have spices."""
285,,,Brown sugar,,Also the first mention of Nancy Drew games on the podcast!
286,,,Cutting Justin's hair,Laughing cow,
287,,,Raymond in Animal Crossing,Cheese curds,
288,,,Mushrooms in ACNH,Mushroom and wild rice soup except it's almost summer,
289,,,Stuffed crust pizza from Pizza Hut,,Some talk about how it becomes string cheese in the fridge?
290,,,Sourdough starter,,"Early pandemic vibes. Sam: ""I feel like you're late to the party,"""
291,,,Joe's new accordion,,
292,,,Sourdough bread and Irish butter,Belgioioso mozzarella balls,
293,,,A butter dish,,
294,,,Epicurious cheese videos,Canada's Drag Race,
295,,,Pirouline cookies,Havarti,Piggie gets jealous because they look like his treats. Some mention of fresh mozzarella.
296,,,Fresh mozzarella,Beecher's Flagship Cheese,"Joe says he wants to bite into the mozzarella, and Sam asks what's stopping him. Joe says: ""the flavor."" Sam says ""mozzarella testicles"" for the five billionth time. After Sam's cheese, the conversation devolves, as all conversations eventually do, into talk of getting your ass eaten by someone chewing mint gum."
298,,,"(Joint) ""Hentai Food""","(Joint) ""Hentai Food""",
299,,,Moving Trucks,Parmigiano Reggiano,"Sam, re: Joe not eating BD5YRC since February: ""We all make sacrifices."" Joe, re: the moldy Cabot cheeses he threw out while moving: ""They played their part in my life."" [...] ""Some [cheeses] have a monologue and then they get off stage."" Sam has never once pronounced Parmigiano Reggiano correctly; my Italian heart suffers."
300,,,Best Cheese in the World Van,,See Patreon for photo.
301,,,"Cheese for dinner with ""slightly above Ritz crackers"": smoked Gouda, goat cheese",Emmentaler vs Gruyere,"Sam prefers Gruyere. Joe: ""What's it called?"" Sam: ""Emmentaler."" Joe: ""Emulsion...blender. Never had that."" Joe, when Sam is talking about cheese crystals: ""Oh, Black Diamond honey. Just say her name."" Sam: ""just cheese for dinner? You are depressed, aren't you?"" Joe: ""YES! Yes."" So much good banter here. TLDR: Joe hates Gouda but keeps buying it."
302,,,7 batches of Rice Krispy treats with strawberry powder jello flavoring,,"They're looking for cheese on Amazon. Sam: ""do you have a Cheese of the Week that's not this?"" Joe: ""No."" [...] ""But [Rice Krispy Treats] kind of look like cheese if you think about it."" Sam: ""No."" Also, according to Joe, he doesn't like Rice Krispy treats."
303,,,Walking / Raspberry Jam,Tillamouk,
304,,,Gluten free flour,CANDYCODED,More adventures in Instacart
305,,,"""Found La Croix"" (Joe doesn't like it, it was in the house)",Burnt basque cheesecake,
